Container_ID,Destination,Goods,Container_Length,Actual_Weight,Shipping_Company
C000089,South Korea,Electronics,53,33733,Roy Shipping Agency
C000090,Ukraine,Wind Turbine Parts,48,32333,Res Trans-Logis
C000091,Philippines,Food Products,45,28721,Sinokor Merchant Marine
C000092,Norway,Wheat,48,32734,COSCO Shipping
C000093,Taiwan,Iron Ore,53,33739,APL
C000094,Norway,Vegetables,48,33010,ZIM Integrated Shipping Services
C000095,Peru,Frozen Meat,53,34331,Crowley Maritime
C000096,Italy,Sand,48,32499,K Line
C000097,Taiwan,Wheat,45,29057,Res Trans-Logis
C000098,Hong Kong,Chemicals,48,32479,Seaboard Marine
C000099,Argentina,Marble,40,26532,Global Ocean Logistics
C000100,Egypt,Solar Panels,45,28724,Unifeeder
C000101,United States,Rice,48,32251,Iran Shipping Lines
C000102,Qatar,Petroleum Products,20,21472,Grimaldi Lines
C000103,Sri Lanka,Lithium Batteries,48,32304,Matson Navigation
C000104,Norway,Scientific Instruments,40,26919,Wan Hai Lines
C000105,Ukraine,Solar Panels,48,32758,X-Press Feeders
C000106,Indonesia,Natural Gas Equipment,45,29017,Unifeeder
C000107,Morocco,Iron Ore,20,21364,Black Sea Shipping
C000108,Indonesia,Timber,40,26987,Maersk
C000109,Norway,Granite,20,21744,Bahri
C000110,Portugal,Glass,40,27028,Global Ocean Logistics
C000111,Brazil,Garments,48,32998,Nippon Yusen Kaisha (NYK)
C000112,Philippines,Electrical Cables,20,21729,Hamburg Süd
C000113,Pakistan,Solar Panels,48,32869,Iran Shipping Lines
C000114,Kenya,Fruits,45,29357,Star Container Services
C000115,United States,Glass,20,21642,Ocean Network Express (ONE)
C000116,Germany,Lubricants,53,34155,Crowley Maritime
C000117,Malaysia,Semiconductors,48,32554,Sinokor Merchant Marine
C000118,United Arab Emirates,Textiles,53,33713,Hapag-Lloyd
C000119,Chile,Granite,45,28738,Unifeeder
C000120,Pakistan,Wheat,53,34135,Seaboard Marine
C000121,Oman,Lithium Batteries,53,34245,Black Sea Shipping
C000122,Peru,Wind Turbine Parts,53,33742,Bahri
C000123,United Arab Emirates,Paint,40,26948,OOCL
C000124,Argentina,Sand,40,26562,Baltic Shipping Company
C000125,Sweden,Semiconductors,40,26938,Star Container Services
C000126,Denmark,Coal,48,33004,Iran Shipping Lines
C000127,Chile,Dairy Products,40,26417,Mediterranean Shipping Company (MSC)
C000128,Russia,Iron Ore,40,26664,Global Ocean Logistics
C000129,Argentina,Electrical Cables,53,33636,Iran Shipping Lines
C000130,Italy,Mobile Phones,53,34393,Crowley Maritime
C000131,Oman,Wind Turbine Parts,45,29143,Ocean Network Express (ONE)
C000132,Indonesia,Leather Goods,20,21364,Res Trans-Logis
C000133,Italy,Coal,45,28991,Baltic Shipping Company
C000134,Morocco,Sugar,48,32324,PIL (Pacific International Lines)
C000135,Portugal,Garments,48,32401,APL
C000136,Chile,Copper,53,34174,Iran Shipping Lines
C000137,Oman,Frozen Meat,53,34052,Evergreen Marine
C000138,Germany,Timber,40,26978,X-Press Feeders
C000139,South Korea,Fertilizer,48,32724,Bahri
C000140,Turkey,Steel Coils,53,33616,Sinokor Merchant Marine
C000141,South Africa,Solvents,53,34186,COSCO Shipping
C000142,Portugal,Heavy Machinery,20,21633,Sinokor Merchant Marine
C000143,New Zealand,Solar Panels,48,32975,Grimaldi Lines
C000144,Ukraine,Fertilizer,40,26756,Bahri
C000145,Germany,Tea,48,32463,Ocean Network Express (ONE)
C000146,South Africa,Tea,53,34208,K Line
C000147,Qatar,Solvents,45,29375,Black Sea Shipping
C000148,United Arab Emirates,Industrial Tools,48,32713,COSCO Shipping
C000149,Belgium,Cotton,40,26696,Nippon Yusen Kaisha (NYK)
C000150,Taiwan,Solar Panels,48,32928,Black Sea Shipping
C000151,South Africa,Cement,48,32285,Hapag-Lloyd
C000152,Netherlands,Medical Equipment,48,32908,Wan Hai Lines
C000153,United Kingdom,Steel Coils,20,22069,SITC International
C000154,South Korea,Plastic Granules,48,32388,Black Sea Shipping
C000155,United States,Computers,20,21821,Star Container Services
C000156,Belgium,Marble,45,29330,Hamburg Süd
C000157,Australia,Industrial Chemicals,53,33610,Matson Navigation
C000158,Nigeria,Sugar,45,29212,Global Ocean Logistics
C000159,Malaysia,Cement,40,27037,COSCO Shipping
C000160,Spain,Steel Coils,40,27012,Res Trans-Logis
C000161,Colombia,Scientific Instruments,20,21779,Ocean Network Express (ONE)
C000162,Qatar,Aluminum,48,32303,Bahri
C000163,Spain,Furniture,45,29030,Hamburg Süd
C000164,Egypt,Solvents,45,29212,COSCO Shipping
C000165,Indonesia,Batteries,40,26885,Roy Shipping Agency
C000166,Indonesia,Frozen Meat,53,33663,Black Sea Shipping
C000167,Kenya,Solar Panels,20,21668,TS Lines
C000168,Morocco,Petroleum Products,20,21553,Star Container Services
C000169,Turkey,Computers,53,34086,Evergreen Marine
C000170,Australia,Leather Goods,48,32403,Matson Navigation
C000171,Denmark,Rice,40,26623,Hapag-Lloyd
C000172,Colombia,Wheat,20,21803,Res Trans-Logis
C000173,Canada,Paint,20,21769,Mitsui O.S.K. Lines (MOL)
C000174,France,Machinery,45,29013,Seaboard Marine
C000175,Germany,Wind Turbine Parts,53,34029,SM Line
C000176,Belgium,Fertilizer,48,33002,Wan Hai Lines
C000177,Hong Kong,Fruits,40,27117,Sinokor Merchant Marine
C000178,Saudi Arabia,Sand,40,26949,Mediterranean Shipping Company (MSC)
C000179,Oman,Marble,45,29213,Evergreen Marine
C000180,Italy,Medical Equipment,40,26546,Hyundai Merchant Marine (HMM)
C000181,South Africa,Medical Equipment,40,27176,Crowley Maritime
C000182,Vietnam,Textiles,40,26673,ZIM Integrated Shipping Services
C000183,New Zealand,Fertilizer,20,22023,Mediterranean Shipping Company (MSC)
C000184,Netherlands,Vaccines,20,21845,Maersk
C000185,Egypt,Vegetables,53,33616,Yang Ming Marine
C000186,Poland,Ceramics,40,26932,COSCO Shipping
C000187,Portugal,Copper,40,27149,Mitsui O.S.K. Lines (MOL)
C000188,Sri Lanka,Coal,40,26633,Safmarine
C000189,Colombia,Fertilizer,53,33880,Nippon Yusen Kaisha (NYK)
C000190,Qatar,Frozen Meat,45,29042,Res Trans-Logis
C000191,Egypt,Footwear,48,32754,Emirates Shipping Line
C000192,Qatar,Cement,20,21574,Iran Shipping Lines
C000193,South Korea,Computers,20,21836,Hapag-Lloyd
C000194,India,Garments,45,29277,Seaboard Marine
C000195,India,Pharmaceuticals,20,21638,SITC International
C000196,Sri Lanka,Copper,20,21890,Yang Ming Marine
C000197,United Kingdom,Frozen Meat,48,32873,Syrian Shipping Lines
C000198,Saudi Arabia,Wheat,40,26978,Crowley Maritime
C000199,Australia,Iron Ore,45,29308,Emirates Shipping Line
C000200,Vietnam,Petroleum Products,48,32457,COSCO Shipping
C000201,Qatar,Automobile Parts,48,32835,Hapag-Lloyd
C000202,Taiwan,Timber,45,29221,COSCO Shipping
C000203,Egypt,Chemicals,48,32322,SM Line
C000204,France,Sand,53,33860,Maersk
C000205,Peru,Lithium Batteries,45,29155,Global Ocean Logistics
C000206,Kenya,Glass,20,21668,Maersk
C000207,Malaysia,Solvents,48,32767,OOCL
C000208,Hong Kong,Textiles,45,28989,K Line
C000209,Philippines,Fruits,45,28739,Sinokor Merchant Marine
C000210,Singapore,Solvents,53,33758,Evergreen Marine
C000211,Japan,Garments,40,26388,Nippon Yusen Kaisha (NYK)
C000212,Belgium,Garments,53,33867,Nippon Yusen Kaisha (NYK)
C000213,Sweden,Food Products,53,33817,APL
C000214,Egypt,Food Products,53,33668,Black Sea Shipping
C000215,Vietnam,Vaccines,48,32933,X-Press Feeders
C000216,Bangladesh,Tea,45,29190,PIL (Pacific International Lines)
C000217,South Korea,Paint,45,28784,Syrian Shipping Lines
C000218,Norway,Batteries,45,28771,Unifeeder
C000219,Saudi Arabia,Computers,48,32858,Emirates Shipping Line
C000220,Canada,Corn,48,32814,Sinokor Merchant Marine
C000221,Poland,Marble,45,29272,Iran Shipping Lines
C000222,Belgium,Aluminum,48,32830,SITC International
C000223,Australia,Iron Ore,53,33934,K Line
C000224,United Kingdom,Wind Turbine Parts,40,26462,Hamburg Süd
C000225,Turkey,Vehicles,53,33839,North Korea Shipping Corporation
C000226,Denmark,Footwear,53,33851,APL
C000227,Peru,Marble,45,29298,COSCO Shipping
C000228,Kenya,Paper,45,28965,Hamburg Süd
C000229,Japan,Fertilizer,53,33743,Hamburg Süd
C000230,Hong Kong,Electronics,40,26725,North Korea Shipping Corporation
C000231,Germany,Corn,40,26586,Baltic Shipping Company
C000232,Denmark,Dairy Products,48,32716,APL
C000233,United Kingdom,Paint,20,21363,Bahri
C000234,United States,Natural Gas Equipment,48,32971,Maersk
C000235,Mexico,Dairy Products,40,26530,Grimaldi Lines
C000236,Colombia,Electrical Cables,45,28760,Evergreen Marine
C000237,Saudi Arabia,Machinery,40,27070,Ocean Network Express (ONE)
C000238,Sri Lanka,Machinery,40,27178,Crowley Maritime
C000239,New Zealand,Solar Panels,53,33856,Grimaldi Lines
C000240,Argentina,Granite,45,29115,Iran Shipping Lines
C000241,Russia,Pharmaceuticals,45,29363,COSCO Shipping
C000242,United Kingdom,Paint,20,21461,Baltic Shipping Company
C000243,Japan,Petroleum Products,20,21902,Nippon Yusen Kaisha (NYK)
C000244,Greece,Iron Ore,40,26764,Hyundai Merchant Marine (HMM)
C000245,Denmark,Cement,40,26873,Maersk
C000246,United Arab Emirates,Leather Goods,53,34256,Bahri
C000247,Peru,Glass,53,34364,Star Container Services
C000248,Japan,Wind Turbine Parts,53,33878,Black Sea Shipping
C000249,Australia,Vehicles,45,29185,Star Container Services
C000250,Turkey,Furniture,20,21477,ZIM Integrated Shipping Services
C000251,France,Iron Ore,45,29249,Global Ocean Logistics
C000252,Denmark,Paper,20,21907,Res Trans-Logis
C000253,Egypt,Electrical Cables,45,28962,Syrian Shipping Lines
C000254,Denmark,Corn,40,26767,Yang Ming Marine
C000255,Germany,Frozen Meat,45,28784,Bahri
C000256,Indonesia,Leather Goods,53,34025,K Line
C000257,Poland,Vehicles,45,28702,Global Ocean Logistics
C000258,Argentina,Pharmaceuticals,20,21397,Roy Shipping Agency
C000259,Brazil,Steel Coils,53,33621,Mitsui O.S.K. Lines (MOL)
C000260,Italy,Marble,20,22113,Hyundai Merchant Marine (HMM)
C000261,Indonesia,Steel Coils,45,29382,Global Ocean Logistics
C000262,United States,Furniture,45,29351,APL
C000263,Spain,Ceramics,45,28966,Safmarine
C000264,Colombia,Sugar,48,32368,SM Line
C000265,Vietnam,Furniture,40,26588,Sinokor Merchant Marine
C000266,United Arab Emirates,Sand,45,28708,Mitsui O.S.K. Lines (MOL)
C000267,Colombia,Frozen Meat,53,33954,Evergreen Marine
C000268,United Kingdom,Copper,45,29390,Seaboard Marine
C000269,Oman,Semiconductors,48,32729,CMA CGM
C000270,Australia,Electronics,45,28850,Hyundai Merchant Marine (HMM)
C000271,Denmark,Timber,45,29252,Seaboard Marine
C000272,Bangladesh,Tea,40,26437,Hapag-Lloyd
C000273,South Africa,Paper,45,29090,Grimaldi Lines
C000274,Italy,Coffee,48,32975,Mitsui O.S.K. Lines (MOL)
C000275,Mexico,Electronics,45,28913,TS Lines
C000276,Portugal,Ceramics,53,34283,K Line
C000277,Portugal,Leather Goods,48,32250,Emirates Shipping Line
C000278,Sweden,Garments,20,21843,Safmarine
C000279,Pakistan,Lithium Batteries,53,33976,Mediterranean Shipping Company (MSC)
C000280,China,Electronics,20,21959,PIL (Pacific International Lines)
C000281,Denmark,Scientific Instruments,48,32348,Res Trans-Logis
C000282,Chile,Fertilizer,40,26690,Global Ocean Logistics
C000283,India,Rice,20,21554,Wan Hai Lines
C000284,Oman,Natural Gas Equipment,20,21560,Mediterranean Shipping Company (MSC)
C000285,Indonesia,Coffee,53,34063,Wan Hai Lines
C000286,Norway,Pharmaceuticals,48,32319,APL
C000287,Taiwan,Batteries,40,26703,Res Trans-Logis
C000288,Oman,Coal,45,28827,Emirates Shipping Line
C000289,Malaysia,Wheat,48,32662,Grimaldi Lines
C000290,Belgium,Copper,53,34366,Hapag-Lloyd
C000291,Ukraine,Rubber,53,33704,Grimaldi Lines
C000292,Taiwan,Paint,40,26451,Ocean Network Express (ONE)
C000293,Qatar,Vehicles,20,21892,Star Container Services
C000294,Chile,Textiles,48,32675,Yang Ming Marine
C000295,Mexico,Rubber,20,22075,SM Line
C000296,Morocco,Vaccines,40,26524,COSCO Shipping
C000297,Spain,Medical Equipment,53,33668,Yang Ming Marine
C000298,Belgium,Steel Coils,48,32325,Evergreen Marine
C000299,South Africa,Solar Panels,20,21417,Grimaldi Lines
C000300,Belgium,Aluminum,20,21615,X-Press Feeders
C000301,Australia,Fertilizer,53,33910,Mediterranean Shipping Company (MSC)
C000302,France,Natural Gas Equipment,53,34275,Roy Shipping Agency
C000303,Turkey,Pharmaceuticals,20,22103,Seaboard Marine
C000304,Colombia,Machinery,48,32459,K Line
C000305,Egypt,Solar Panels,53,34058,Mediterranean Shipping Company (MSC)
C000306,Saudi Arabia,Coal,20,21342,Baltic Shipping Company
C000307,Peru,Vehicles,45,29420,CMA CGM
C000308,Bangladesh,Semiconductors,45,29447,Wan Hai Lines
C000309,India,Wheat,53,33978,Hamburg Süd
C000310,Germany,Wheat,20,21400,North Korea Shipping Corporation
C000311,Mexico,Cotton,45,29440,Mediterranean Shipping Company (MSC)
C000312,Sri Lanka,Garments,48,32755,Mediterranean Shipping Company (MSC)
C000313,Philippines,Marble,48,32750,North Korea Shipping Corporation
C000314,Italy,Sand,40,26825,K Line
C000315,Brazil,Dairy Products,20,21757,Sinokor Merchant Marine
C000316,Morocco,Marble,40,26757,Seaboard Marine
C000317,United Arab Emirates,Solar Panels,20,21910,ZIM Integrated Shipping Services
C000318,Turkey,Batteries,45,28663,PIL (Pacific International Lines)
C000319,South Africa,Batteries,53,34150,Sinokor Merchant Marine
C000320,Greece,Batteries,48,32989,Mediterranean Shipping Company (MSC)
C000321,Spain,Garments,40,26569,Unifeeder
C000322,Poland,Heavy Machinery,45,29339,APL
C000323,Saudi Arabia,Wind Turbine Parts,20,22024,K Line
C000324,Hong Kong,Vehicles,20,21989,Syrian Shipping Lines
C000325,Portugal,Vegetables,20,22004,SM Line
C000326,Singapore,Pharmaceuticals,40,26412,ZIM Integrated Shipping Services
C000327,Portugal,Garments,40,26530,Seaboard Marine
C000328,Vietnam,Coal,48,32431,Baltic Shipping Company
C000329,New Zealand,Rice,48,32848,PIL (Pacific International Lines)
C000330,Portugal,Computers,45,29102,TS Lines
C000331,Ukraine,Mobile Phones,20,22008,Baltic Shipping Company
C000332,France,Semiconductors,20,21897,Seaboard Marine
C000333,Norway,Footwear,40,26907,Hamburg Süd
C000334,South Korea,Vehicles,53,34336,K Line
C000335,Nigeria,Vaccines,45,29050,ZIM Integrated Shipping Services
C000336,Taiwan,Lithium Batteries,40,27037,X-Press Feeders
C000337,Colombia,Vehicles,48,32786,Global Ocean Logistics
C000338,Norway,Vaccines,45,28983,ZIM Integrated Shipping Services
C000339,Argentina,Fruits,45,29409,Wan Hai Lines
C000340,Chile,Batteries,40,26777,Unifeeder
C000341,Indonesia,Wind Turbine Parts,48,32488,CMA CGM
C000342,India,Sugar,20,21687,Mitsui O.S.K. Lines (MOL)
C000343,Turkey,Batteries,20,21877,Seaboard Marine
C000344,Morocco,Vegetables,40,26874,Matson Navigation
C000345,India,Lithium Batteries,45,29344,Safmarine
C000346,Nigeria,Footwear,53,34152,Maersk
C000347,Indonesia,Sugar,45,28899,Evergreen Marine
C000348,Mexico,Tea,53,34072,Nippon Yusen Kaisha (NYK)
C000349,Norway,Lubricants,53,33776,Sinokor Merchant Marine
C000350,Nigeria,Solar Panels,20,21430,Yang Ming Marine
C000351,Ukraine,Copper,40,26530,Hyundai Merchant Marine (HMM)
C000352,United States,Heavy Machinery,53,33610,Roy Shipping Agency
C000353,China,Batteries,45,28772,ZIM Integrated Shipping Services
C000354,Turkey,Wheat,20,21561,Nippon Yusen Kaisha (NYK)
C000355,Turkey,Industrial Tools,20,21396,Roy Shipping Agency
C000356,Spain,Chemicals,48,32798,Black Sea Shipping
C000357,United Kingdom,Wind Turbine Parts,20,21424,Yang Ming Marine
C000358,Italy,Dairy Products,53,34345,Black Sea Shipping
C000359,Egypt,Lubricants,45,29305,Nippon Yusen Kaisha (NYK)
C000360,Canada,Scientific Instruments,20,21818,Black Sea Shipping
C000361,Oman,Sand,53,33983,Mediterranean Shipping Company (MSC)
C000362,Sweden,Scientific Instruments,48,32787,APL
C000363,Poland,Corn,53,33709,ZIM Integrated Shipping Services
C000364,Taiwan,Semiconductors,40,26759,Crowley Maritime
C000365,New Zealand,Industrial Tools,40,26769,Evergreen Marine
C000366,China,Automobile Parts,45,29298,Mediterranean Shipping Company (MSC)
C000367,France,Coffee,20,21934,Maersk
C000368,Qatar,Scientific Instruments,53,34044,Matson Navigation
C000369,Peru,Corn,45,29317,Syrian Shipping Lines
C000370,Oman,Wheat,45,28927,Crowley Maritime
C000371,India,Computers,48,32508,Emirates Shipping Line
C000372,Morocco,Fertilizer,53,34235,Baltic Shipping Company
C000373,New Zealand,Rice,53,33946,Mediterranean Shipping Company (MSC)
C000374,Brazil,Furniture,48,32766,Emirates Shipping Line
C000375,Peru,Industrial Chemicals,20,21484,CMA CGM
C000376,Philippines,Natural Gas Equipment,53,33656,Baltic Shipping Company
C000377,South Africa,Vaccines,40,26640,Emirates Shipping Line
C000378,Saudi Arabia,Petroleum Products,20,21695,Global Ocean Logistics
C000379,Denmark,Sand,40,27020,Emirates Shipping Line
C000380,Egypt,Coffee,40,26692,Bahri
C000381,Brazil,Heavy Machinery,45,28878,Res Trans-Logis
C000382,Sri Lanka,Aluminum,40,26793,Evergreen Marine
C000383,Bangladesh,Plastic Granules,53,33965,Maersk
C000384,Bangladesh,Industrial Chemicals,20,21927,Hyundai Merchant Marine (HMM)
C000385,Netherlands,Tea,40,26421,Bahri
C000386,Hong Kong,Chemicals,45,28791,Nippon Yusen Kaisha (NYK)
C000387,Oman,Wheat,48,32809,Res Trans-Logis
C000388,Thailand,Mobile Phones,53,34237,SM Line
C000389,Belgium,Seafood,40,26667,Nippon Yusen Kaisha (NYK)
C000390,Germany,Medical Equipment,53,33881,Maersk
C000391,China,Rubber,45,29099,Safmarine
C000392,Sweden,Food Products,53,34195,Sinokor Merchant Marine
C000393,Mexico,Electronics,48,32663,X-Press Feeders
C000394,New Zealand,Pharmaceuticals,20,21604,X-Press Feeders
C000395,Spain,Electronics,40,26456,Mediterranean Shipping Company (MSC)
C000396,Japan,Mobile Phones,45,29100,North Korea Shipping Corporation
C000397,Mexico,Seafood,45,28848,OOCL
C000398,Mexico,Footwear,53,33982,CMA CGM
C000399,Vietnam,Steel Coils,48,32904,Safmarine
C000400,Kenya,Fruits,40,26443,Crowley Maritime
C000401,Argentina,Automobile Parts,45,29325,Roy Shipping Agency
C000402,France,Solvents,48,32690,COSCO Shipping
C000403,China,Machinery,45,28689,Black Sea Shipping
C000404,Colombia,Leather Goods,48,32555,Iran Shipping Lines
C000405,Egypt,Chemicals,45,28701,Maersk
C000406,Nigeria,Furniture,53,33985,Wan Hai Lines
C000407,Belgium,Wind Turbine Parts,53,34324,COSCO Shipping
C000408,Colombia,Garments,20,22122,X-Press Feeders
C000409,Thailand,Ceramics,40,26974,Unifeeder
C000410,Spain,Computers,20,21956,Hapag-Lloyd
C000411,Argentina,Solvents,53,33720,Res Trans-Logis
C000412,United Arab Emirates,Chemicals,20,21682,Black Sea Shipping
C000413,United Kingdom,Pharmaceuticals,48,33045,Crowley Maritime
C000414,Taiwan,Batteries,53,34136,Global Ocean Logistics
C000415,Vietnam,Solvents,40,26843,Wan Hai Lines
C000416,Kenya,Wind Turbine Parts,20,22123,Global Ocean Logistics
C000417,Nigeria,Batteries,20,21826,Mitsui O.S.K. Lines (MOL)
C000418,Poland,Machinery,53,33642,Baltic Shipping Company
C000419,Portugal,Natural Gas Equipment,53,33709,Global Ocean Logistics
C000420,United States,Wind Turbine Parts,40,26564,Hapag-Lloyd
C000421,Belgium,Scientific Instruments,45,28846,Safmarine
C000422,South Korea,Copper,40,26624,SM Line
C000423,Netherlands,Solvents,45,29418,Hamburg Süd
C000424,Hong Kong,Steel Coils,48,32627,Mitsui O.S.K. Lines (MOL)
C000425,India,Batteries,20,21498,North Korea Shipping Corporation
C000426,Australia,Timber,53,34084,Star Container Services
C000427,Kenya,Dairy Products,53,34089,Mitsui O.S.K. Lines (MOL)
C000428,Taiwan,Fertilizer,48,32888,Hamburg Süd
C000429,Hong Kong,Cotton,40,26472,Yang Ming Marine
C000430,Saudi Arabia,Cotton,48,32532,Iran Shipping Lines
C000431,Spain,Fertilizer,48,33038,Evergreen Marine
C000432,Singapore,Batteries,45,29267,Star Container Services
C000433,Egypt,Vehicles,20,21502,Evergreen Marine
C000434,Indonesia,Steel Coils,40,26897,Yang Ming Marine
C000435,Oman,Scientific Instruments,45,29155,Matson Navigation
C000436,Canada,Corn,45,29276,Evergreen Marine
C000437,Australia,Industrial Chemicals,20,21594,COSCO Shipping
C000438,Bangladesh,Wheat,53,34390,APL
C000439,United States,Fruits,20,22007,Hapag-Lloyd
C000440,Denmark,Lithium Batteries,48,32912,Mediterranean Shipping Company (MSC)
C000441,Sweden,Fertilizer,45,29262,North Korea Shipping Corporation
C000442,France,Sugar,48,32563,Res Trans-Logis
C000443,Australia,Corn,45,28786,Matson Navigation
C000444,Morocco,Vaccines,20,22022,Unifeeder
C000445,Singapore,Ceramics,20,21989,OOCL
C000446,Singapore,Fruits,53,33638,SITC International
C000447,Chile,Cotton,53,34169,OOCL
C000448,Mexico,Solvents,45,28786,Nippon Yusen Kaisha (NYK)
C000449,Norway,Batteries,20,21665,COSCO Shipping
C000450,Australia,Aluminum,20,21788,APL
C000451,Portugal,Textiles,20,21553,COSCO Shipping
C000452,Chile,Lithium Batteries,48,32438,Evergreen Marine
C000453,South Africa,Tea,53,33871,Hapag-Lloyd
C000454,United Kingdom,Electrical Cables,40,26436,K Line
C000455,Qatar,Ceramics,48,32636,PIL (Pacific International Lines)
C000456,Argentina,Timber,40,27016,Nippon Yusen Kaisha (NYK)
